순번,Q,A
275,각개격파,"각개격파(各個擊破)는 작전 중인 부대가 적 세력이 유기적으로 통합되지 않고 분산되어 있는 시기를 틈타 분산된 각각의 병력을 순차적으로 공격하여 전력을 무력화하는 것을 의미한다. 적에 비해 적은 병력을 가진 상태에서 공세를 취해야 할 상황에 처했을 때 특히 유용한 전술행동으로, 비록 전체 병력 상에 있어서는 적보다 열세에 있더라도 전투가 벌어지는 구역에 있어서만은 항상 적보다 병력의 상대적 우위를 차지하는 것이 그 목적이자 기본 방침이다. 각개격파는 내선작전(內線作戰)을 수행하는 가장 핵심적인 작전행동이며, 실제로 내선작전은 아군의 병력을 집중해서 분산된 적의 일부에게 결정적인 타격을 입히는 각개격파에 성공여부가 달려있다."
287,간균,"막대기 또는 원기둥 모양의 세균을 가리킨다. 분열균(分菌)의 하나로. 구균(球菌)이나 나선균과 대비해서 사용된다. 길이에 따라 장간균(長桿菌)과 단간균(短桿菌)으로 크게 구분되나, 이 안에서도 양 끝의 모양이나 배열 형태 등에 있어 여러 가지 다양한 형태를 나타내고 있다. 가장 위험한 생물학 무기 중 한 가지로 꼽히는 탄저균이 바로 간균의 일종이다."
330,간접사격,"시계를 사용하지 않고 간접 조준에 의해 이루어지는 사격을 가리킨다. 목표물의 위치가 멀고 표적을 직접 시야에 포착하는 것이 불가능하여 직접조준을 할 수 없는 목표에 대하여 이루어지며, 박격포나 장거리 야포와 같은 곡사화기에서 이러한 사격방식이 사용된다. 사격진지에서는 목표물을 볼 수 없기 때문에 그 위치를 파악하기 어려우므로, 사격의 정확성을 기하기 위해서는 관측소나 공중에서의 도움이 필요하다."
331,간접전략,"국가가 분쟁상황에 대처함에 있어 군사력의 직접적 사용을 필요 최소한도로 한정하고, 그 대신 정치적, 경제적, 외교적 수단 및 심리적 수단 등을 최대한도로 활용하여 적의 전의를 좌절시켜 굴복시키는 전략적 접근방법을 가리킨다. 또한 이는 군사적 협상태세와도 병행하여 사용된다. 국가전략 수행 수단상의 문제로 군사적 수단 외의 다른 수단을 이용하여 국가목적을 수행한다는 점에서 군사적 수단의 사용을 전제하는 간접접근과는 구별된다"
332,간접침략,"제 2차 세계대전 이전에는 동맹한 두 나라 중 한 나라가 무력에 의해 공격받았을 경우, 공격받지 않은 쪽의 국가가 침략을 받고 있지 않지만 동맹국과의 협정에 의거하여 같이 침략받았다고 여겨지는 경우 실제 공격받지 않은 국가에 간접침략이 가해진 것으로 인식하였으나, 제 2차 세계대전 이후에는 특정 세력이 정규군에 의하지 않고 타국 내의 반정부세력을 조종하여 무장봉기 및 정부의 전복을 도모하는 것을 가리키는 것으로 의미가 바뀌었으며, 정규군에 의한 직접적인 무력공격은 이에 대응하는 의미로 직접침략이라 칭한다. 이와 같은 간접침략의 정의가 처음으로 문서화된 것은 1947년 3월에 발표된 트루먼 독트린에서으며, 이후 1947년의 북대서양조약, 1948년의 보고타헌장 등 여러 국제조약에서 간접침략에 대하여 현재의 의미로 규정하고 있다. 일반적으로 간접침략은 직접침략의 이전에 행해지거나 직접침략과 병행해서 행해지는데, 그 수단으로는 무장봉기나 저항운동의 사주 및 지원, 상대국 지배계급 내에서의 쿠데타 획책, 게릴라 침투 등의 무력을 동원하는 수단과 정권탈취를 위한 모략 등이 있다. 경우에 따라서는 직접침략 이후에도 간접침략을 행하는 경우가 있다."
334,간첩,"상대편의 내부에 침투하여 각종 수단을 통하여 그 정보를 탐지하고 기밀을 알아내어 자기 편에 통보하는 사람을 가리킨다. 또한, 상대편의 내부에 침입한 상태에서 허위의 사실이나 유언비어 등을 유포하여 상대편의 혼란 및 오판을 유도하게 하는 사람이나 파괴활동을 일으키는 사람들도 간첩의 범주에 포함된다. 일반적으로 교전국이나 적대국에 대해서 간첩활동이 가장 활발하게 행해지나, 간첩 활동이 반드시 교전국이나 적대국에 대해서만 행해지는 것은 아니다. 간자(間者), 세작(細作), 첩자(諜者), 스파이(Spy) 등 여러 가지 다른 명칭으로 불리기도 하며, 손자병법서에서는 간첩에 대해 그 역할이나 출신 등을 기준으로 향간(鄕間), 내간(內間), 반간(反間), 사간(死間), 생간(生間)의 다섯 가지로 구분하고 있다."
335,간첩선,"적국의 해안에 침투하여 정보를 수집하거나 간첩을 적지에 침투시키는 역할을 맡는 배를 가리킨다. 한국의 해안에 침투하는 북한 간첩선은 공작모선, 공작자선, 잠수함 및 잠수정으로 분류할 수 있는데, 공작모선은 공작자선으로 이용되는 해안침투용의 반잠수정을 탑재할 수 있는 200톤에서 250톤 가량의 대형 간첩선을 가리키며, 통상적으로 중고선박을 이용하여 어선으로 위장하고 있으나 통신장비와 더불어 무장을 갖추고 있으며, 개량을 가하여 매우 빠른 속력(35내지 40노트)을 보유하고 있다. 공작자선은 공작모선에 탑재되어 간첩의 직접 침투에 이용되는 소형의 간첩선을 가리키며, 과거에는 소형 어선이나 낚시배로 가장한 배를 이용하였으나 최근에는 주로 고속 중무장의 반잠수정을 사용하고 있다. 잠수함 및 잠수정의 경우 드러나지 않게 간첩을 해상으로부터 침투시키는 데 이용된다."
433,감응기뢰,"폭발 및 발화방식에 따른 기뢰 분류의 한 종류로, 표적함정이 움직임에 따라 생겨나는 함정 주변의 자기, 음향, 압력 등과 같은 물리량의 변화를 센서를 통해 원거리에서 감지하여 폭발하는 기뢰를 가리킨다. 제 2차 세계대전 이후 널리 사용되는 대표적인 기뢰로서, 어떤 물리량의 변화에 감응하느냐에 따라 자기 감응기뢰, 음향 감응기뢰, 압력 감응기뢰 및, 이들 센서를 복합적으로 탑재하여 소해를 복잡하게 하고 신뢰도를 높인 복합 감응기뢰가 있다. 현대의 기뢰는 대개 복합 감응기뢰가 대세를 이루고 있다."
464,갑종사태,"통합방위사태의 종류 중 하나로, 대규모의 적의 침투도발로 인한 비상사태로서 통합방위본부장 또는 지역군사령관의 지휘통제하에 통합방위작전을 수행하여야 할 사태를 말한다. 국방부장관은 갑종사태에 해당하는 상황이 발생한 때 또는 2이상의 특별시광역시도(이하 &quot시도&quot라 한다)에 걸쳐 을종사태에 해당하는 상황이 발생한 때에, 행정자치부장관 또는 국방부장관은 2이상의 시도에 걸쳐 병종사태에 해당하는 상황이 발생한 때에 즉시 국무총리를 거쳐 대통령에게 통합방위사태의 선포를 건의하여야 하며, 대통령은 위 건의를 받은 때 중앙협의회와 국무회의의 심의를 거쳐 통합방위사태를 선포할 수 있다. 갑종사태의 선포권자는 대통령뿐이다."
496,강제착륙,"비행 중의 각종 사태로 인하여 항공기가 본래의 목적지에 도달하지 못하고 강제적으로 착륙하는 일을 가리킨다. 테러단체 등에 의한 하이재킹으로 인하여 강제착륙되기도 하며, 타국의 영공이나 중립지대 상공, 혹은 비행금지구역에 대한 불법적인 침범을 행하였을 경우 당사국에 의해 강제착륙되기도 한다. 이 경우, 강제착륙을 요구받은 항공기가 계속적으로 강제착륙을 거부할 때에는, 침범당한 당사국 측에서는 상황에 따라 상대 항공기를 격추시키는 조치도 가능하다. 또한 비행 중인 항공기에 중대한 기계적 결함이나 전투손상이 발생하였을 경우에도 규정된 일련의 조치를 거친 후 강제착륙을 행하도록 되어 있다"
585,개별동원,"병력 동원지정시에 동원자원 배정지역 내의 소요자원이 부족할 경우 타지역 자원을 동원지정하여 소속된 예비군부대와는 별도로 동원지정된 소집부대로 개별 입영하는 것을 가리킨다. 집단동원이나 부대단위 동원개념에 대비되는 개념이다. 개별동원의 대상이 되는 것은 해군, 공군 자원 및 육군의 장교, 부사관과 주요특기병, 특수부대 요원으로, 이들은 동원자원이 전국에 산재되어 있기 때문에 부대단위 동원이나 집단동원의 개념에 따른 특정지역에서의 집중동원은 불가능하다. 이로 인해 동원지정을 광역화하는 것이 불가피하여 개별동원에 의해 충원하게 된다."
667,거부작전,"전술 및 전략적인 가치를 갖는 목표물이나 지역을 적이 점령하거나 이용하는 것을 방해하거나 방지하기 위해서 계획된 작전을 가리킨다. 또한 거부작전은 적의 전체적인 작전실시 능력과 이동 능력을 방해하는 것을 목적으로 하고 있으므로 주로 전략적인 개념으로 운용된다. 거부작전은 장벽운용과 더불어 공격작전 및 방어작전에 공히 운용되지만, 일반적으로는 방어작전과 지연작전에서 더 많이 운용된다. 공격시의 거부작전은 장벽 운용과 함께 병력을 절약하고 측방 경계를 도우며, 역습을 방지하고 철수하는 적을 함정으로 몰아넣는 데 사용된다. 방어시의 거부작전은 병력절약과 더불어 그로 인한 더욱 광범위한 분산이 가능하게 하고, 적이 전방 혹은 측방으로 전진해 오는 것을 지연시키거나 와해시켜 아군의 방어화력에 대한 적의 취약점을 증가시키는 동시에 측방 및 후방지역 경계를 돕는다. 거부작전이 적의 전체적인 작전의 실시와 이동 능력을 방해하는 데 비하면 장벽운용은 적 전술부대의 전술적 기동을 감소시킨다는 차이가 있다."
673,거점방어,"방어작전의 한 형태로, 방어지역에 존재하는 지형상의 요충지에 진지(통상 대대급 규모)를 구축하고 사주방어를 할 수 있도록 만들어 거점화하는 방식으로 편성한 방어를 가리킨다. 이 경우, 통상적으로 방어전력을 거점에 집중하게 되는 경향이 있다."
674,거제도포로폭동사건,"한국전쟁 중인 1952년 2월, 공산군 포로를 집단수용하고 있던 거제도에서 발생한 포로들의 폭동사건. 폭동 당시 거제도에는 약 13만 2,000명의 포로들이 수용되어 있었다. 폭동사건 이전부터 수용소의 포로들은 친공포로와 반공포로로 나뉘어 심각하게 대립하는 상태였고 이미 1951년부터 유혈사태가 일어나고 있었는데, 이는 처음 이들을 수용할 때 두 집단을 분리하지 않고 대단위로 혼합수용했던 데서 기인한다. 친공포로들은 해방동맹을, 반공포로들은 대한반공청년단을 조직하였고, 수용소의 각 동은 어느 계열이 주도권을 잡았느냐에 따라 친공계열과 반공계열로 분리되었다. 이후 1951년 말 포로교환 문제가 논의되었을 때, UN군은 제네바 협정의 자동 송환원칙을 어기고 자유 송환원칙을 제시하였으며, 이로 인해 타결이 지연되자 북한측 대표는 북으로 송환되기를 원하는 인민군 및 중공군 포로의 숫자를 제시할 것을 요구하였다. 이에 따라 송환요구자와 미 요구자의 분류를 위해 거제도 포로수용소에서 1952년 2월에 착수된 분리심사에 대하여 일부 포로들에게 본국으로의 귀환 포기를 권유했다는 이유로 친공포로들이 격렬하게 저항하였고, 이들이 주도권을 잡은 동에서 폭동을 일으켜 분리심사에 불응하였다. 최초의 충돌이 일어난 것은 2월 18일로, 이 충돌에서 미군의 발포로 포로측에서 77명의 사망자와 140명의 부상자가 나왔고 미군측에서도 1명의 사망자 및 38명의 부상자가 발생했다. 3월 13일에는 한국군 군경비대와 포로들이 충돌하여 12명의 포로가 사망하고 26명이 부상하였으며, 5월 7일에는 미군병사들에 의한 포로 금품 약탈에 대한 건으로 사령관 면담을 요구한 뒤 친공포로들이 주동하여 수용소장인 돗드 준장을 납치하였다. 새 소장으로 부임한 콜슨은 포로들과 협상한 끝에 포로측 요구조건 일부를 수용하여 수용소의 야만행위 시인, 전원송환 보장, 강제심사 중지, 포로 대표단 구성 인정을 승인하고 돗드를 구출하였다. 그러나 이들은 즉시 동경으로 소환되고 1계급씩 강등되어 퇴역했다. 그 후임으로 부임한 보트너는 강력한 수용소 관리를 시작하여 수용소 경비병들에 대한 군기 확립, 500명 규모의 포로 분할 수용, 거제도 이외의 수용소 건설, 적기 게양 포로 사살 등의 방침을 세웠다. 5월 말부터 계획에 착수하여 6월 1일 포로대표 이학구를 영창에 감금하고 6월 10일 소단위로 분산 수용하기 위해 친공포로들이 주도권을 잡고 있었던 76수용소에 전차와 군대를 앞세워 위협하면서 진입하였다. 이후로도 유혈사태는 계속되어 6월 13일에도 76수용소에서 충돌이 발생하여 포로측 38명이 살해되고 195명이 부상당했으며 미군측 1명이 사망하고 14명이 부상을 당했다. 10월 1일에는 중공군 포로수용소에서 중공군 56명이 살해되고 120여 명이 부상당하는 사건이 발생하였다. 12월 4일에는 봉암도수용소에서 폭동이 발생하여 포로 87명이 사망하고 115명이 부상을 당하기도 했다. 1952년도에는 이러한 크고 작은 폭동이 계속되었다."
678,거창양민학살사건,"1951년 2월 경상남도 거창군 신원면 일대에서 있있던 양민 대량학살 사건. 당시 지리산을 근거로 출몰하던 공비에 대한 토벌작전을 진행중이던 국군 제11사단(사단장 최덕신 준장) 9연대(연대장 오익경 대령) 3대대(대대장 한동석 소령)에 의해 행해졌다. 대현(大峴), 와룡(臥), 내탄(內呑), 중유(中楡) 등 6개 마을 주민들이 공비와 내통한다는 이유로 1951년 2월 9일 신원면 덕산리 청연골에서 주민 84명을 학살하고, 2월 10일 대현리 탄량골에서 주민 100명을 할살하였으며, 2월 11일 과정리 박산골에서 주민 517명을 학살하고, 2월 9일-2월 11일 기타지역에서 주민 18명을 학살하는 등 총 719명이 학살되었으며, 이 중 15세 이하 남녀 어린이가 359명에 달하였다. 사건 이후 후환을 두려워했던 한동석 소령은 시체를 소각하고 신원면 일대에 대한 타지인 출입을 막은 상태에서 어린이 시체를 골라내어 다른 곳에 암매장한 뒤 공비와의 전투로 희생자가 발생한 것으로 사건을 은폐하려 하였으나, 3월 29일 거창 출신의 신중목 국회의원이 당시 부산에 피난중이던 국회에서 보고함으로써 알려지게 되었다. 3월 30일 국회와 내무부, 법무부, 국방부의 합동진상조사단이 구성되어 4월 7일 합동진상조사단이 신원면 사건 현장으로 향하였으나, 길 안내를 맡은 경남 계엄민사부장 김종원 대령은 신성모 국방 장관과 사전에 모의하여 9연대 정보 참모 최영두 소령의 수색 소대로 하여금 군인을 공비로 위장 매복시킨 뒤 조사단에게 사격을 가하여 현지조사를 저지시켰다. 그러나 5월 8일 국회는 비합법적 행형을 규탄하는 결의안을 채택, 공개함으로써 그 부당성을 지적하였고, 그 결과로 내무부, 법무부, 국방부의 장관이 사임하였고, 7월 27일 대구고등군법회의에서 심판부가 구성되어 12월 16일의 판정판시에서 사건의 직접 책임자인 김종원, 오익경, 한동석에게 각각 징역형을 선고하였으나 얼마 후 모두 대통령 특사로 석방된 뒤 김종원은 경찰에, 오익경과 한동석은 군에 각각 복권, 복직되었다. 이후 4.19의거로 자유당정권이 무너진 뒤인 1960년 5월 유족 70여 명이 보복으로 당시의 면장 박영보를 끌어다 생화장하는 참사가 일어났고 대검찰청의 재수사로 사건의 진상이 드러났으나, 1961년 5.16 군사정부는 유족회 간부들을 반국가 단체 혐의로 구속시켰고 6월 25일 경남지사 최갑중은 학살된 양민을 합장한 박산합동묘소에 개장 명령을 내려 묘역을 파헤친 뒤 공동묘지에 각자 개장하게 하였으며, 위령비를 땅에 파묻게 하였다. 이후 끈질긴 신원운동으로 1967년 봉분이 복구되었고 1988년 위령비를 다시 파냈으며, 1995년 12월에 거창사건등 관련자의 명예회복에 관한 특별 조치법이 통과되었다."
683,건국치안대,"광복 직후 사회 혼란 수습과 치안 유지를 위해 조직된 단체. 조선총독부로부터 치안권을 인수받은 여운형이 1945년 8월 16일 휘문중학교 강당에서 장권을 대장으로 조직하였다. 9월 2일 건국준비위원회에 편입되었으며, 이후 미군정 시기의 사설 치안조직 불허 방침에 따라 해산되었다. 건국치안대는 안국동의 풍문학교에 본부를 두고 청년 및 학생 2,000명을 동원하여 서울의 치안 확보를 담당하게 하는 한편 전문학교 이상의 학생 200명을 전국 각지에 파견하여 지역별 및 직장별 치안대를 조직하고 각각 그곳의 치안을 유지하게 하는 한편 중요 자재 및 기관들과 특수 수원지를 보호하게 하고 전기회사 및 철도국과 연락하여 교통 원활화를 위하여 노력하였다. 또한 광복 이후 분노한 한국인들의 격앙된 민족감정에 의해 일본인들이 린치를 당하는 것에 대해서도 보호하였으나, 일본인들은 소유의 재산 및 물자를 파괴, 매각하고 친일파에게 무기를 분배하는 등의 행위를 자행하여 건국치안대의 행동을 방해하기도 하였다. 또한 경찰서의 접수 및 관리과정에서 일본인 경찰이나 헌병 및 조선인 일제경찰과의 충돌도 다소 있었다. 건국치안대는 급조된 조직이었던 이유로 인해 소홀한 점이 있었고 유사단체에 의한 폐해도 다소 있었으나 이들의 활동으로 인하여 해방된 대한민국은 곧 질서가 유지될 수 있었으며, 해방 직후 국민들에 의한 자주적인 치안유지 조직으로서 의미를 가진다"
691,건설동원,"군사작전은 물론, 기타의 전시소요까지도 충족시키기 위하여 건물, 토지, 중기 및 기타 건설장비, 건설업체 등을 사용, 통제, 운영하는 것으로, 군 소요 중기는 사용동원 하고, 긴급 복구지원에 소요되는 중기는 시, 도지사가 통제 운영한다. 보상금액은 물자동원시의 보상기준액에 따른다."
702,건제부대,"전술상의 목적으로 인해 평시 때부터 그 편성법을 제정하여 건설한 부대로, 건제에 따라 편제상의 단일지휘관하에 고정편성되어 결합된 부대를 가리킨다. 건제란 국군 건설을 위하여 정해진 근본제도로, 편제표에 따라 정해진 군 조직을 유지하는 것을 말한다. 건제부대에는 (야전)군, 군단, 사단, 여단, 연대, 대대, 중대, 소대 등이 있으며, 건제부대에 대한 지휘 및 통제는 교리 또는 규정이 정하는 바에 따른다."
760,게릴라,"유격전에 종사하여 적 후방을 공격하고 교란하는 소부대 또는 그 전투원으로 정규군이 아닌 자를 가리킨다. 나폴레옹 군대의 에스파니아 원정 때 에스파니아인들이 행했던 무장 저항을 게릴라라고 칭했던 데서 비롯된 말로, 게릴라라는 단어는 소규모 전쟁이라는 의미의 에스파니아어에서 유래되었으며, 소련에서 게릴라 활동을 했던 이들의 호칭을 따서 파르티잔(partizan) 혹은 빨치산이라 불리기도 한다. 조직적인 군대식 편제는 갖고 있지 않으며, 근거지로 작은 기지를 두면서 일반 민중의 지원을 받으며 그 속에 숨기도 한다. 별도의 보급체계를 거의 갖추고 있지 못하기 때문에 활동지역 주민들의 지원이 필수적이며, 이것이 없이는 효과적인 작전을 수행할 수 없다."
762,게릴라전,"게릴라 부대에 의해 행해지는 전투로, 유격전이라고도 한다. 게릴라 부대는 대항할 적 부대에 비하면 일반적으로 화력이나 병력이 열세하기 때문에 정면작전을 회피하고 주로 적의 후방을 활동무대로 하며, 소부대로 지형 등을 이용한 기습을 가하여 적에게 피해를 가하고 신속하게 후퇴하거나 경비가 허술한 적 후방의 통신소나 군용물자 집적소, 철도 등을 공격하는 방법을 주로 사용한다. 때에 따라서는 정규군과 연동하여 작전을 수행하기도 한다. 유격전의 성공 요소로는 주민지원과 유리한 지형 외에도 외부로부터의 지원, 유능한 지휘통솔, 엄격한 기율, 선전활동과 정보활동, 노력의 종합과 치열한 저항 의지 등을 들 수 있다. 게릴라전은 기본적으로 전략적으로 약한 자가 강한 자에 도전하는 것이며, 전략적으로 수세에 놓여 있다 할지라도 전술적으로는 항상 공세를 취하는 것이므로 적의 약점을 최대한 이용할 필요가 있다."
